,Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
0,PERI,FEBOUT,0023,,1994-12-13 13:07:00,SAMP,G,1.5,,SW,10,"PH, FIELD",,,,7.86,7.86,,,,,UNITS,,,,L3575-6,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,,
1,PERI,FEBOUT,0023,,1994-12-13 13:07:00,SAMP,G,1.5,,SW,9,"SP CONDUCTIVITY, FIELD",,,,395.0,395.0,,,,,uS/cm,,,,L3575-6,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,0.0,,
2,PERI,FEBOUT,0023,,1994-12-13 13:07:00,SAMP,G,1.5,,SW,7,TEMP,,,,21.57,21.6,,,,,Deg C,,,,L3575-6,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,1.0,,
3,PERI,FEBOUT,0023,,1994-12-13 13:07:00,SAMP,G,1.5,,SW,99,"DEPTH, TOTAL",,,,1.8,1.8,,,,,SDU,,,,L3575-6,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,,
4,PERI,FEBOUT,0023,,1994-12-13 13:07:00,SAMP,G,1.5,,SW,23,"PHOSPHATE, ORTHO AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L3575-6,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,,
5,PERI,FEBOUT,0023,,1994-12-13 13:07:00,SAMP,G,1.5,,SW,8,DISSOLVED OXYGEN,,,,5.35,5.35,,,,,mg/L,,,,L3575-6,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,,
6,PERI,FEBOUT,0023,,1994-12-13 13:07:00,SAMP,G,1.5,,SW,20,AMMONIA-N,,,,-0.01,-0.01,,,,,mg/L,,,,L3575-6,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,,
7,PERI,FEBOUT,0023,,1994-12-13 13:07:00,SAMP,G,1.5,,SW,18,NITRATE+NITRITE-N,,,,0.022000000000000002,0.022000000000000002,,,,,mg/L,,,,L3575-6,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,,
8,PERI,FEBOUT,0023,,1994-12-13 13:07:00,SAMP,G,1.5,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.033,0.033,,,,,mg/L,,,,L3575-6,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,,
9,PERI,FEBOUT,0023,,1994-12-13 13:07:00,SAMP,G,1.5,,SW,16,TOTAL SUSPENDED SOLIDS,,,,5.0,5.0,,,,,mg/L,,,,L3575-6,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,1.0,,
