,Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
0,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,7,TEMP,,,,23.0,23.0,,,,,Deg C,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
1,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,67,"ALKALINITY, TOT, CACO3",,,,145.0,145.00,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
2,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,8,DISSOLVED OXYGEN,,,,7.9,7.90,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
3,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,9,"SP CONDUCTIVITY, FIELD",,,,690.0,690,,,,,uS/cm,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,0.0,,
4,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,89,"CARBON, DISSOLVED ORGANIC",,,,17.0,17.0,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
5,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,78,NITRATE-N,,,,-0.004,-0.004,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
6,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,58,"CARBON, TOTAL INORGANIC",,,,3.0,3.0,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
7,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,57,"CARBON, TOTAL",,,,20.0,20.0,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
8,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,50,"NICKEL, DISSOLVED",,,,54.0,54.000,,,,,ug/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
9,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,43,"CHROMIUM, DISSOLVED",,,,19.0,19.000,,,,,ug/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
10,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,37,"IRON, DISSOLVED",,,,120.0,120.00,,,,,ug/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
11,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,35,HARDNESS AS CACO3,,,,219.5,219.5,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
12,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,32,CHLORIDE,,,,85.0,85.0,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
13,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,31,MAGNESIUM,,,,22.4,22.40,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
14,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,30,CALCIUM,,,,51.0,51.00,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
15,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,29,POTASSIUM,,,,8.8,8.80,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
16,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,27,SILICA,,,,5.3,5.3,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
17,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.047,0.047,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
18,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,23,"PHOSPHATE, ORTHO AS P",,,,-0.002,-0.002,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
19,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,21,"KJELDAHL NITROGEN, TOTAL",,,,1.6,1.6,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
20,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,20,AMMONIA-N,,,,-0.1,-0.10,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
21,Y,L008,0058,,1972-12-12 11:30:00,SAMP,G,0.0,,SW,19,NITRITE-N,,,,-0.002,-0.002,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
