,Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
0,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,9,"SP CONDUCTIVITY, FIELD",,,,567.0,567,,,,,uS/cm,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,0.0,,
1,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,8,DISSOLVED OXYGEN,,,,7.67,7.67,,,,,mg/L,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
2,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,11,SECCHI DISK DEPTH,,,,0.96,0.96,,,,,metres,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
3,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,12,TURBIDITY,,,,4.2,4.2,,,,,NTU,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
4,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,13,COLOR,,,,23.0,23,,,,,PCU,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,0.0,,
5,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,16,TOTAL SUSPENDED SOLIDS,,,,9.0,9.0,,,,,mg/L,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
6,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,18,NITRATE+NITRITE-N,,,,-0.004,-0.004,,,,,mg/L,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
7,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,32,CHLORIDE,,,,76.544,76.5,,,,,mg/L,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
8,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,61,CHLOROPHYLL-A,,,,15.4,15.4,,,,,mg/M^3,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
9,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,62,CHLOROPHYLL-B,,,,-1.0,-1.0,,,,,mg/M^3,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
10,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,63,CAROTENOIDS,,,,10.7,10.7,,,,,mg/M^3,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
11,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,64,PHEOPHYTIN,,,,3.7,3.7,,,,,mg/M^3,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
12,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,67,"ALKALINITY, TOT, CACO3",,,,103.0,103.00,,,,,mg/L,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
13,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,77,VOLATILE SUSPENDED SOLIDS,,,,3.0,3.0,,,,,mg/L,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
14,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,78,NITRATE-N,,,,-0.004,-0.004,,,,,mg/L,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
15,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,7,TEMP,,,,31.34,31.3,,,,,Deg C,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
16,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,19,NITRITE-N,,,,0.004,0.004,,,,,mg/L,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
17,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,20,AMMONIA-N,,,,-0.01,-0.01,,,,,mg/L,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
18,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,99,"DEPTH, TOTAL",,,,1.82,1.82,,,,,SDU,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
19,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,112,"CHLOROPHYLL-A, CORRECTED",,,,12.8,12.8,,,,,mg/M^3,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
20,YSRG,POLE3S,0086,,1994-06-13 11:29:00,SAMP,G,0.5,,SW,21,"KJELDAHL NITROGEN, TOTAL",,,,1.175,1.2,,,,,mg/L,,,,L2650-9,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
