,Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
0,Y,POLESOUT,6536,,1988-06-27 13:00:00,SAMP,G,0.0,,SW,8,DISSOLVED OXYGEN,,,,7.5,7.50,,,,,mg/L,,,,88007465,,WMD,WMD,,,,,,,,,,19,,0,0,1,MON,2.0,,
1,Y,POLESOUT,6536,,1988-06-27 13:00:00,SAMP,G,0.0,,SW,7,TEMP,,,,31.3,31.3,,,,,Deg C,,,,88007465,,WMD,WMD,,,,,,,,,,19,,0,0,1,MON,1.0,,
2,Y,POLESOUT,6536,,1988-06-27 13:00:00,SAMP,G,0.0,,SW,10,"PH, FIELD",,,,8.3,8.30,,,,,UNITS,,,,88007465,,WMD,WMD,,,,,,,,,,19,,0,0,1,MON,2.0,,
3,Y,POLESOUT,6536,,1988-06-27 13:00:00,SAMP,G,0.0,,SW,11,SECCHI DISK DEPTH,,,,0.75,0.75,,,,,metres,,,,88007465,,WMD,WMD,,,,,,,,,,19,,0,0,1,MON,2.0,,
4,Y,POLESOUT,6536,,1988-06-27 13:00:00,SAMP,G,0.0,,SW,12,TURBIDITY,,,,2.4,2.4,,,,,NTU,,,,88007465,,WMD,WMD,,,,,,,,,,19,,0,0,1,MON,1.0,,
5,Y,POLESOUT,6536,,1988-06-27 13:00:00,SAMP,G,0.0,,SW,13,COLOR,,,,39.0,39,,,,,PCU,,,,88007465,,WMD,WMD,,,,,,,,,,19,,0,0,1,MON,0.0,,
6,Y,POLESOUT,6536,,1988-06-27 13:00:00,SAMP,G,0.0,,SW,18,NITRATE+NITRITE-N,,,,-0.004,-0.004,,,,,mg/L,,,,88007465,,WMD,WMD,,,,,,,,,,19,,0,0,1,MON,3.0,,
7,Y,POLESOUT,6536,,1988-06-27 13:00:00,SAMP,G,0.0,,SW,19,NITRITE-N,,,,-0.004,-0.004,,,,,mg/L,,,,88007465,,WMD,WMD,,,,,,,,,,19,,0,0,1,MON,3.0,,
8,Y,POLESOUT,6536,,1988-06-27 13:00:00,SAMP,G,0.0,,SW,20,AMMONIA-N,,,,-0.01,-0.01,,,,,mg/L,,,,88007465,,WMD,WMD,,,,,,,,,,19,,0,0,1,MON,2.0,,
9,Y,POLESOUT,6536,,1988-06-27 13:00:00,SAMP,G,0.0,,SW,21,"KJELDAHL NITROGEN, TOTAL",,,,1.27,1.3,,,,,mg/L,,,,88007465,,WMD,WMD,,,,,,,,,,19,,0,0,1,MON,1.0,,
10,Y,POLESOUT,6536,,1988-06-27 13:00:00,SAMP,G,0.0,,SW,23,"PHOSPHATE, ORTHO AS P",,,,0.009000000000000001,0.009,,,,,mg/L,,,,88007465,,WMD,WMD,,,,,,,,,,19,,0,0,1,MON,3.0,,
11,Y,POLESOUT,6536,,1988-06-27 13:00:00,SAMP,G,0.0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.09699999999999999,0.097,,,,,mg/L,,,,88007465,,WMD,WMD,,,,,,,,,,19,,0,0,1,MON,3.0,,
