,Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
0,LOSAV,RITTAE2,P3717-10,,2000-02-10 11:15:00,SAMP,G,0.0,,SW,13,COLOR,,,11-FEB-2000 07:00,50.0,50.0,,1.0,,1.0,PCU,,,10-FEB-2000 00:00,L14057-10,,WMD,WMD,,,,,0.0,,,,,38,,0,0,0,EXP,0.0,,
1,LOSAV,RITTAE2,P3717-10,,2000-02-10 11:15:00,SAMP,G,0.0,,SW,77,VOLATILE SUSPENDED SOLIDS,,,10-FEB-2000 00:00,21.0,21.0,,3.0,,3.0,mg/L,,,10-FEB-2000 00:00,L14057-10,,WMD,WMD,,,,,0.0,,,,,38,,0,0,0,EXP,1.0,,
2,LOSAV,RITTAE2,P3717-10,,2000-02-10 11:15:00,SAMP,G,0.0,,SW,16,TOTAL SUSPENDED SOLIDS,,,10-FEB-2000 00:00,47.0,47.0,,3.0,,3.0,mg/L,,,10-FEB-2000 00:00,L14057-10,,WMD,WMD,,,,,0.0,,,,,38,,0,0,0,EXP,1.0,,
3,LOSAV,RITTAE2,P4488-10,,2000-04-24 10:40:00,SAMP,G,0.0,,SW,13,COLOR,,,25-APR-2000 08:09,35.0,35.0,,1.0,,1.0,PCU,,,24-APR-2000 00:00,L14483-1,,WMD,WMD,,,,,0.0,,,,,38,,0,0,0,EXP,0.0,,
4,LOSAV,RITTAE2,P4478-10,,2000-04-24 10:40:00,SAMP,G,0.0,,SW,225,NO BOTTLE SAMPLE,,,,0.0,0.0,,,,,Units,,,24-APR-2000 00:00,L14480-10,,WMD,WMD,,,,CA,0.0,,,,,38,,0,0,0,EXP,0.0,use P4488-10--L14483-1,
5,LOSAV,RITTAE2,P4488-10,,2000-04-24 10:40:00,SAMP,G,0.0,,SW,77,VOLATILE SUSPENDED SOLIDS,,,25-APR-2000 00:00,19.0,19.0,,3.0,,3.0,mg/L,,,24-APR-2000 00:00,L14483-1,,WMD,WMD,,,,,0.0,,,,,38,,0,0,0,EXP,1.0,,
6,LOSAV,RITTAE2,P4488-10,,2000-04-24 10:40:00,SAMP,G,0.0,,SW,16,TOTAL SUSPENDED SOLIDS,,,25-APR-2000 00:00,45.0,45.0,,3.0,,3.0,mg/L,,,24-APR-2000 00:00,L14483-1,,WMD,WMD,,,,,0.0,,,,,38,,0,0,0,EXP,1.0,,
7,LOSAV,RITTAE2,P4886-10,,2000-05-23 12:10:00,SAMP,G,0.0,,SW,225,NO BOTTLE SAMPLE,,,,0.0,0.0,,,,,Units,,,23-MAY-2000 00:00,L14773-10,,WMD,WMD,,,,CA,0.0,,,,,38,,0,0,0,EXP,0.0,,
8,LOSAV,RITTAE2,P5192-10,,2000-06-19 12:40:00,SAMP,G,0.0,,SW,77,VOLATILE SUSPENDED SOLIDS,,,21-JUN-2000 00:00,-3.0,-3.0,,3.0,,3.0,mg/L,,,19-JUN-2000 00:00,L14945-6,,WMD,WMD,,,,,0.0,,,,,38,,0,0,0,EXP,1.0,,
9,LOSAV,RITTAE2,P5192-10,,2000-06-19 12:40:00,SAMP,G,0.0,,SW,16,TOTAL SUSPENDED SOLIDS,,,20-JUN-2000 00:00,3.0,3.0,,3.0,,3.0,mg/L,,,19-JUN-2000 00:00,L14945-6,,WMD,WMD,,,,,0.0,,,,,38,,0,0,0,EXP,1.0,,
