,Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
0,X,S135,0644,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,10,"PH, FIELD",,,,8.4,8.40,,,,,UNITS,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
1,X,S135,0644,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,31,MAGNESIUM,,,,16.3,16.30,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
2,X,S135,0644,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,19,NITRITE-N,,,,0.008,0.008,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
3,X,S135,0644,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,20,AMMONIA-N,,,,0.03,0.03,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
4,X,S135,0644,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,21,"KJELDAHL NITROGEN, TOTAL",,,,1.28,1.3,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
5,X,S135,0644,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,23,"PHOSPHATE, ORTHO AS P",,,,0.011000000000000001,0.011,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
6,X,S135,0644,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.040999999999999995,0.041,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
7,X,S135,0644,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,27,SILICA,,,,4.0,4.0,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
8,X,S135,0644,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,29,POTASSIUM,,,,4.4,4.40,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
9,X,S135,0644,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,30,CALCIUM,,,,53.7,53.70,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
10,X,S135,0644,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,28,SODIUM,,,,57.2,57.20,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
