,Site Name,Latitude (ddmmss.sss),Longtitude (ddmmss.sss),Begin date,End date,Total measurements
0,POLESOUT,270217.513,805506.746,1988-06-27 13:00:00,2020-06-23 13:03:00,11186
1,KISSR0.0,270828.683,805045.601,1986-07-29 12:38:00,2020-06-23 08:14:00,23033
2,LZ2,271123.121,804940.943,1978-05-22 15:25:00,2020-06-23 08:43:00,12958
3,S133,,,1973-04-09 00:00:00,2020-06-15 07:51:00,18549
4,TCNS228,,,,,0
5,S135,,,1973-04-09 00:00:00,2020-06-15 08:51:00,13141
6,FEBIN,265733.697,810409.649,1994-12-13 14:11:00,2020-06-01 08:50:00,6757
7,MBOXSOU,,,1996-01-17 10:13:00,2020-06-01 09:06:00,5157
8,MH24000,,,1996-01-17 10:26:00,2020-06-01 09:13:00,4830
9,FEBOUT,265818.497,810021.373,1994-12-13 13:07:00,2020-06-01 08:34:00,6642
10,L005,265724.229,805820.586,1972-11-06 15:20:00,2020-06-23 12:02:00,32057
11,L008,265725.604,805330.092,1972-12-12 11:30:00,2020-06-23 11:36:00,18646
12,LZ40,265406.534,804720.409,1978-06-12 10:08:00,2020-06-24 09:48:00,28670
13,L004,265839.662,804234.494,1972-11-06 12:55:00,2020-06-23 10:59:00,19763
14,S308C,265905.61,803717.14,1973-01-15 13:15:00,2020-06-15 15:49:00,23567
15,PALMOUNT,,,,,0
16,S169,,,1985-05-06 09:51:00,2020-06-15 12:25:00,9845
17,S236,,,1979-05-14 14:02:00,2020-06-15 11:52:00,9112
18,POLE3S,264401.164,805024.285,1994-06-13 11:29:00,2020-06-24 11:51:00,9489
19,RITTAE2,264345.031,804724.409,2000-02-10 11:15:00,2020-06-24 12:20:00,3141
20,LZ2FA,,,,,0
21,L007,264612.004,804703.659,1972-11-06 14:00:00,2020-06-24 12:36:00,20588
22,PELBAY3,264627.021,804229.802,2000-02-10 09:00:00,2020-06-24 13:27:00,3709
23,L006,264921.21,804658.21,1972-11-06 14:30:00,2020-06-24 13:01:00,27855
24,LZ30,264749.097,805136.341,1978-05-22 11:50:00,2020-06-24 11:24:00,14911
