,Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
0,PERI,FEBIN,0024,,1994-12-13 14:11:00,SAMP,G,2.0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.10099999999999999,0.10099999999999999,,,,,mg/L,,,,L3575-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,,
1,PERI,FEBIN,0024,,1994-12-13 14:11:00,SAMP,G,2.0,,SW,21,"KJELDAHL NITROGEN, TOTAL",,,,1.2919999999999998,1.3,,,,,mg/L,,,,L3575-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,1.0,,
2,PERI,FEBIN,0024,,1994-12-13 14:11:00,SAMP,G,2.0,,SW,20,AMMONIA-N,,,,0.166,0.17,,,,,mg/L,,,,L3575-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,,
3,PERI,FEBIN,0024,,1994-12-13 14:11:00,SAMP,G,2.0,,SW,7,TEMP,,,,21.56,21.6,,,,,Deg C,,,,L3575-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,1.0,,
4,PERI,FEBIN,0024,,1994-12-13 14:11:00,SAMP,G,2.0,,SW,9,"SP CONDUCTIVITY, FIELD",,,,300.0,300.0,,,,,uS/cm,,,,L3575-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,0.0,,
5,PERI,FEBIN,0024,,1994-12-13 14:11:00,SAMP,G,2.0,,SW,99,"DEPTH, TOTAL",,,,2.25,2.25,,,,,SDU,,,,L3575-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,,
6,PERI,FEBIN,0024,,1994-12-13 14:11:00,SAMP,G,2.0,,SW,16,TOTAL SUSPENDED SOLIDS,,,,4.0,4.0,,,,,mg/L,,,,L3575-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,1.0,,
7,PERI,FEBIN,0024,,1994-12-13 14:11:00,SAMP,G,2.0,,SW,23,"PHOSPHATE, ORTHO AS P",,,,0.055,0.055,,,,,mg/L,,,,L3575-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,,
8,PERI,FEBIN,0024,,1994-12-13 14:11:00,SAMP,G,2.0,,SW,11,SECCHI DISK DEPTH,,,,0.72,0.72,,,,,metres,,,,L3575-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,,
9,PERI,FEBIN,0024,,1994-12-13 14:11:00,SAMP,G,2.0,,SW,10,"PH, FIELD",,,,7.25,7.25,,,,,UNITS,,,,L3575-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,,
10,PERI,FEBIN,0024,,1994-12-13 14:11:00,SAMP,G,2.0,,SW,8,DISSOLVED OXYGEN,,,,6.39,6.39,,,,,mg/L,,,,L3575-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,,
11,PERI,FEBIN,0024,,1994-12-13 14:11:00,SAMP,G,2.0,,SW,18,NITRATE+NITRITE-N,,,,0.092,0.092,,,,,mg/L,,,,L3575-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,,
12,PERI,FEBIN,0069,,1995-03-15 13:45:00,SAMP,G,0.0,,SW,23,"PHOSPHATE, ORTHO AS P",,,,0.028999999999999998,0.028999999999999998,,,,,mg/L,,,,L3944-4,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,,
13,PERI,FEBIN,0069,,1995-03-15 13:45:00,SAMP,G,0.0,,SW,20,AMMONIA-N,,,,-0.01,-0.01,,,,,mg/L,,,,L3944-4,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,,
14,PERI,FEBIN,0069,,1995-03-15 13:45:00,SAMP,G,0.0,,SW,21,"KJELDAHL NITROGEN, TOTAL",,,,1.2690000000000001,1.3,,,,,mg/L,,,,L3944-4,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,1.0,,
15,PERI,FEBIN,0069,,1995-03-15 13:45:00,SAMP,G,0.0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.078,0.078,,,,,mg/L,,,,L3944-4,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,,
16,PERI,FEBIN,0069,,1995-03-15 13:45:00,SAMP,G,0.0,,SW,16,TOTAL SUSPENDED SOLIDS,,,,9.0,9.0,,,,,mg/L,,,,L3944-4,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,1.0,,
17,PERI,FEBIN,0069,,1995-03-15 13:45:00,SAMP,G,0.0,,SW,18,NITRATE+NITRITE-N,,,,0.171,0.171,,,,,mg/L,,,,L3944-4,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,,
18,PERI,FEBIN,0107,,1995-06-13 12:04:00,SAMP,G,0.0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.046,0.046,,,,,mg/L,,,,L4325-8,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,,
19,PERI,FEBIN,0107,,1995-06-13 12:04:00,SAMP,G,0.0,,SW,20,AMMONIA-N,,,,-0.01,-0.01,,,,,mg/L,,,,L4325-8,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,,
20,PERI,FEBIN,0107,,1995-06-13 12:04:00,SAMP,G,0.0,,SW,21,"KJELDAHL NITROGEN, TOTAL",,,,1.072,1.1,,,,,mg/L,,,,L4325-8,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,1.0,,
21,PERI,FEBIN,0107,,1995-06-13 12:04:00,SAMP,G,0.0,,SW,23,"PHOSPHATE, ORTHO AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L4325-8,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,,
22,PERI,FEBIN,0107,,1995-06-13 12:04:00,SAMP,G,0.0,,SW,16,TOTAL SUSPENDED SOLIDS,,,,3.0,3.0,,,,,mg/L,,,,L4325-8,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,1.0,,
23,PERI,FEBIN,0107,,1995-06-13 12:04:00,SAMP,G,0.0,,SW,18,NITRATE+NITRITE-N,,,,0.011000000000000001,0.011000000000000001,,,,,mg/L,,,,L4325-8,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,,
24,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,20,AMMONIA-N,,,,0.035,0.04,,,,,mg/L,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,1000 MLS.,
25,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,23,"PHOSPHATE, ORTHO AS P",,,,0.03,0.03,,,,,mg/L,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,1000 MLS.,
26,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,78,NITRATE-N,,,,0.593,0.593,,,,,mg/L,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,1000 MLS.,
27,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,112,"CHLOROPHYLL-A, CORRECTED",,,,3.3,3.3,,,,,mg/M^3,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,1.0,1000 MLS.,
28,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,113,CHLOROPHYLL-C,,,,-1.0,-1.0,,,,,mg/M^3,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,1.0,1000 MLS.,
29,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,31,MAGNESIUM,,,,7.02,7.02,,,,,mg/L,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,1000 MLS.,
30,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,61,CHLOROPHYLL-A,,,,3.8,3.8,,,,,mg/M^3,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,1.0,1000 MLS.,
31,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,21,"KJELDAHL NITROGEN, TOTAL",,,,0.996,1.0,,,,,mg/L,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,1.0,1000 MLS.,
32,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,10,"PH, FIELD",,,,7.41,7.41,,,,,UNITS,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,1000 MLS.,
33,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,77,VOLATILE SUSPENDED SOLIDS,,,,2.0,2.0,,,,,mg/L,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,1.0,1000 MLS.,
34,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,62,CHLOROPHYLL-B,,,,-1.0,-1.0,,,,,mg/M^3,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,1.0,1000 MLS.,
35,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,19,NITRITE-N,,,,0.006,0.006,,,,,mg/L,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,1000 MLS.,
36,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,26,"PHOSPHATE, DISSOLVED AS P",,,,0.035,0.035,,,,,mg/L,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,1000 MLS.,
37,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.06,0.06,,,,,mg/L,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,1000 MLS.,
38,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,18,NITRATE+NITRITE-N,,,,0.599,0.599,,,,,mg/L,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,3.0,1000 MLS.,
39,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,28,SODIUM,,,,18.76,18.76,,,,,mg/L,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,1000 MLS.,
40,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,30,CALCIUM,,,,23.5,23.5,,,,,mg/L,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,1000 MLS.,
41,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,29,POTASSIUM,,,,3.88,3.88,,,,,mg/L,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,1000 MLS.,
42,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,7,TEMP,,,,15.15,15.2,,,,,Deg C,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,1.0,1000 MLS.,
43,OLIT,FEBIN,0007,,1996-01-17 10:05:00,SAMP,G,0.0,,SW,8,DISSOLVED OXYGEN,,,,12.18,12.18,,,,,mg/L,,,,L5389-7,,WMD,WMD,,,,,,,,,,0,,0.0,0.0,0,MON,2.0,1000 MLS.,
