,Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
0,Y,L007,0033,,1972-11-06 14:00:00,SAMP,G,0.0,,SW,23,"PHOSPHATE, ORTHO AS P",,,,0.003,0.003,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
1,Y,L007,0033,,1972-11-06 14:00:00,SAMP,G,0.0,,SW,67,"ALKALINITY, TOT, CACO3",,,,160.0,160.00,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
2,Y,L007,0033,,1972-11-06 14:00:00,SAMP,G,0.0,,SW,89,"CARBON, DISSOLVED ORGANIC",,,,19.0,19.0,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
3,Y,L007,0033,,1972-11-06 14:00:00,SAMP,G,0.0,,SW,78,NITRATE-N,,,,0.045,0.045,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
4,Y,L007,0033,,1972-11-06 14:00:00,SAMP,G,0.0,,SW,50,"NICKEL, DISSOLVED",,,,52.0,52.000,,,,,ug/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
5,Y,L007,0033,,1972-11-06 14:00:00,SAMP,G,0.0,,SW,43,"CHROMIUM, DISSOLVED",,,,17.0,17.000,,,,,ug/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
6,Y,L007,0033,,1972-11-06 14:00:00,SAMP,G,0.0,,SW,37,"IRON, DISSOLVED",,,,120.0,120.00,,,,,ug/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
7,Y,L007,0033,,1972-11-06 14:00:00,SAMP,G,0.0,,SW,35,HARDNESS AS CACO3,,,,219.5,219.5,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
8,Y,L007,0033,,1972-11-06 14:00:00,SAMP,G,0.0,,SW,32,CHLORIDE,,,,95.0,95.0,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
9,Y,L007,0033,,1972-11-06 14:00:00,SAMP,G,0.0,,SW,31,MAGNESIUM,,,,22.4,22.40,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
10,Y,L007,0033,,1972-11-06 14:00:00,SAMP,G,0.0,,SW,29,POTASSIUM,,,,8.8,8.80,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
11,Y,L007,0033,,1972-11-06 14:00:00,SAMP,G,0.0,,SW,28,SODIUM,,,,99.0,99.00,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
12,Y,L007,0033,,1972-11-06 14:00:00,SAMP,G,0.0,,SW,27,SILICA,,,,7.1,7.1,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
