,Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
0,Y,LZ2,3311,,1978-05-22 15:25:00,SAMP,G,0.0,,SW,36,"IRON, TOTAL",,,,20.0,20.00,,,,,ug/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,1,MON,2.0,,
1,Y,LZ2,3311,,1978-05-22 15:25:00,SAMP,G,0.0,,SW,8,DISSOLVED OXYGEN,,,,5.8,5.80,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,1,MON,2.0,,
2,Y,LZ2,3311,,1978-05-22 15:25:00,SAMP,G,0.0,,SW,10,"PH, FIELD",,,,8.75,8.75,,,,,UNITS,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,1,MON,2.0,,
3,Y,LZ2,3311,,1978-05-22 15:25:00,SAMP,G,0.0,,SW,12,TURBIDITY,,,,5.8,5.8,,,,,NTU,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,1,MON,1.0,,
4,Y,LZ2,3311,,1978-05-22 15:25:00,SAMP,G,0.0,,SW,13,COLOR,,,,30.0,30,,,,,PCU,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,1,MON,0.0,,
5,Y,LZ2,3311,,1978-05-22 15:25:00,SAMP,G,0.0,,SW,18,NITRATE+NITRITE-N,,,,-0.004,-0.004,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,1,MON,3.0,,
6,Y,LZ2,3311,,1978-05-22 15:25:00,SAMP,G,0.0,,SW,19,NITRITE-N,,,,-0.004,-0.004,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,1,MON,3.0,,
7,Y,LZ2,3311,,1978-05-22 15:25:00,SAMP,G,0.0,,SW,20,AMMONIA-N,,,,-0.01,-0.01,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,1,MON,2.0,,
8,Y,LZ2,3311,,1978-05-22 15:25:00,SAMP,G,0.0,,SW,21,"KJELDAHL NITROGEN, TOTAL",,,,1.64,1.6,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,1,MON,1.0,,
9,Y,LZ2,3311,,1978-05-22 15:25:00,SAMP,G,0.0,,SW,23,"PHOSPHATE, ORTHO AS P",,,,-0.002,-0.002,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,1,MON,3.0,,
10,Y,LZ2,3311,,1978-05-22 15:25:00,SAMP,G,0.0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.054000000000000006,0.054,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,1,MON,3.0,,
11,Y,LZ2,3311,,1978-05-22 15:25:00,SAMP,G,0.0,,SW,7,TEMP,,,,27.1,27.1,,,,,Deg C,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,1,MON,1.0,,
12,Y,LZ2,3311,,1978-05-22 15:25:00,SAMP,G,0.0,,SW,32,CHLORIDE,,,,79.2,79.2,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,1,MON,1.0,,
13,Y,LZ2,3311,,1978-05-22 15:25:00,SAMP,G,0.0,,SW,78,NITRATE-N,,,,-0.004,-0.004,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,1,MON,3.0,,
14,Y,LZ2,3311,,1978-05-22 15:25:00,SAMP,G,0.0,,SW,67,"ALKALINITY, TOT, CACO3",,,,103.5,103.50,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,1,MON,2.0,,
15,Y,LZ2,3311,,1978-05-22 15:25:00,SAMP,G,0.0,,SW,100,"CARBON, TOTAL ORGANIC",,,,14.2,14.2,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,1,MON,1.0,,
16,Y,LZ2,3311,,1978-05-22 15:25:00,SAMP,G,0.0,,SW,9,"SP CONDUCTIVITY, FIELD",,,,575.0,575,,,,,uS/cm,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,1,MON,0.0,,
