,Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
0,OLIT,MBOXSOU,0008,,1996-01-17 10:13:00,SAMP,UNK,0.0,,RA,62,CHLOROPHYLL-B,,,,-1.0,-1.0,,,,,mg/M^3,,,,L5389-8,,WMD,WMD,,,,,,,,,,1,,0,0,0,MON,1.0,1000 MLS.,
1,OLIT,MBOXSOU,0008,,1996-01-17 10:13:00,SAMP,UNK,0.0,,RA,63,CAROTENOIDS,,,,3.1,3.1,,,,,mg/M^3,,,,L5389-8,,WMD,WMD,,,,,,,,,,1,,0,0,0,MON,1.0,1000 MLS.,
2,OLIT,MBOXSOU,0008,,1996-01-17 10:13:00,SAMP,UNK,0.0,,RA,61,CHLOROPHYLL-A,,,,7.8,7.8,,,,,mg/M^3,,,,L5389-8,,WMD,WMD,,,,,,,,,,1,,0,0,0,MON,1.0,1000 MLS.,
3,OLIT,MBOXSOU,0008,,1996-01-17 10:13:00,SAMP,UNK,0.0,,RA,30,CALCIUM,,,,38.18,38.18,,,,,mg/L,,,,L5389-8,,WMD,WMD,,,,,,,,,,1,,0,0,0,MON,2.0,1000 MLS.,
4,OLIT,MBOXSOU,0008,,1996-01-17 10:13:00,SAMP,UNK,0.0,,RA,29,POTASSIUM,,,,4.75,4.75,,,,,mg/L,,,,L5389-8,,WMD,WMD,,,,,,,,,,1,,0,0,0,MON,2.0,1000 MLS.,
5,OLIT,MBOXSOU,0008,,1996-01-17 10:13:00,SAMP,UNK,0.0,,RA,28,SODIUM,,,,31.2,31.2,,,,,mg/L,,,,L5389-8,,WMD,WMD,,,,,,,,,,1,,0,0,0,MON,2.0,1000 MLS.,
6,OLIT,MBOXSOU,0008,,1996-01-17 10:13:00,SAMP,UNK,0.0,,RA,26,"PHOSPHATE, DISSOLVED AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L5389-8,,WMD,WMD,,,,,,,,,,1,,0,0,0,MON,3.0,1000 MLS.,
7,OLIT,MBOXSOU,0008,,1996-01-17 10:13:00,SAMP,UNK,0.0,,RA,25,"PHOSPHATE, TOTAL AS P",,,,0.006,0.006,,,,,mg/L,,,,L5389-8,,WMD,WMD,,,,,,,,,,1,,0,0,0,MON,3.0,1000 MLS.,
8,OLIT,MBOXSOU,0008,,1996-01-17 10:13:00,SAMP,UNK,0.0,,RA,23,"PHOSPHATE, ORTHO AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L5389-8,,WMD,WMD,,,,,,,,,,1,,0,0,0,MON,3.0,1000 MLS.,
9,OLIT,MBOXSOU,0008,,1996-01-17 10:13:00,SAMP,UNK,0.0,,RA,31,MAGNESIUM,,,,11.63,11.63,,,,,mg/L,,,,L5389-8,,WMD,WMD,,,,,,,,,,1,,0,0,0,MON,2.0,1000 MLS.,
10,OLIT,MBOXSOU,0008,,1996-01-17 10:13:00,SAMP,UNK,0.0,,RA,77,VOLATILE SUSPENDED SOLIDS,,,,-2.0,-2.0,,,,,mg/L,,,,L5389-8,,WMD,WMD,,,,,,,,,,1,,0,0,0,MON,1.0,1000 MLS.,
11,OLIT,MBOXSOU,0008,,1996-01-17 10:13:00,SAMP,UNK,0.0,,RA,78,NITRATE-N,,,,0.006999999999999999,0.006999999999999999,,,,,mg/L,,,,L5389-8,,WMD,WMD,,,,,,,,,,1,,0,0,0,MON,3.0,1000 MLS.,
12,OLIT,MBOXSOU,0008,,1996-01-17 10:13:00,SAMP,UNK,0.0,,RA,99,"DEPTH, TOTAL",,,,1.2,1.2,,,,,SDU,,,,L5389-8,,WMD,WMD,,,,,,,,,,1,,0,0,0,MON,2.0,1000 MLS.,
13,OLIT,MBOXSOU,0008,,1996-01-17 10:13:00,SAMP,UNK,0.0,,RA,112,"CHLOROPHYLL-A, CORRECTED",,,,6.1,6.1,,,,,mg/M^3,,,,L5389-8,,WMD,WMD,,,,,,,,,,1,,0,0,0,MON,1.0,1000 MLS.,
14,OLIT,MBOXSOU,0008,,1996-01-17 10:13:00,SAMP,UNK,0.0,,RA,113,CHLOROPHYLL-C,,,,-1.0,-1.0,,,,,mg/M^3,,,,L5389-8,,WMD,WMD,,,,,,,,,,1,,0,0,0,MON,1.0,1000 MLS.,
