,Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
0,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,9,"SP CONDUCTIVITY, FIELD",,,,400.0,400,,,,,uS/cm,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,0.0,"1000 MLS.,  SECCHI ON BOTTOM.",
1,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,99,"DEPTH, TOTAL",,,,1.3,1.30,,,,,SDU,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,"1000 MLS.,  SECCHI ON BOTTOM.",
2,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,31,MAGNESIUM,,,,11.26,11.26,,,,,mg/L,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,"1000 MLS.,  SECCHI ON BOTTOM.",
3,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,20,AMMONIA-N,,,,0.06,0.06,,,,,mg/L,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,"1000 MLS.,  SECCHI ON BOTTOM.",
4,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,21,"KJELDAHL NITROGEN, TOTAL",,,,0.9740000000000001,1.0,,,,,mg/L,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,"1000 MLS.,  SECCHI ON BOTTOM.",
5,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,10,"PH, FIELD",,,,7.77,7.77,,,,,UNITS,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,"1000 MLS.,  SECCHI ON BOTTOM.",
6,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,77,VOLATILE SUSPENDED SOLIDS,,,,2.0,2.0,,,,,mg/L,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,"1000 MLS.,  SECCHI ON BOTTOM.",
7,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,78,NITRATE-N,,,,0.006999999999999999,0.007,,,,,mg/L,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,"1000 MLS.,  SECCHI ON BOTTOM.",
8,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,112,"CHLOROPHYLL-A, CORRECTED",,,,2.6,2.6,,,,,mg/M^3,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,"1000 MLS.,  SECCHI ON BOTTOM.",
9,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,113,CHLOROPHYLL-C,,,,-1.0,-1.0,,,,,mg/M^3,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,"1000 MLS.,  SECCHI ON BOTTOM.",
10,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,28,SODIUM,,,,30.48,30.48,,,,,mg/L,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,"1000 MLS.,  SECCHI ON BOTTOM.",
11,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,30,CALCIUM,,,,39.03,39.03,,,,,mg/L,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,"1000 MLS.,  SECCHI ON BOTTOM.",
12,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,29,POTASSIUM,,,,4.45,4.45,,,,,mg/L,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,"1000 MLS.,  SECCHI ON BOTTOM.",
13,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,19,NITRITE-N,,,,-0.004,-0.004,,,,,mg/L,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,"1000 MLS.,  SECCHI ON BOTTOM.",
14,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,7,TEMP,,,,15.45,15.4,,,,,Deg C,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,"1000 MLS.,  SECCHI ON BOTTOM.",
15,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,8,DISSOLVED OXYGEN,,,,9.03,9.03,,,,,mg/L,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,"1000 MLS.,  SECCHI ON BOTTOM.",
16,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,67,"ALKALINITY, TOT, CACO3",,,,92.66,92.66,,,,,mg/L,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,"1000 MLS.,  SECCHI ON BOTTOM.",
17,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,63,CAROTENOIDS,,,,1.2,1.2,,,,,mg/M^3,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,"1000 MLS.,  SECCHI ON BOTTOM.",
18,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,64,PHEOPHYTIN,,,,-1.0,-1.0,,,,,mg/M^3,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,"1000 MLS.,  SECCHI ON BOTTOM.",
19,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,23,"PHOSPHATE, ORTHO AS P",,,,-0.004,-0.004,,,,,mg/L,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,"1000 MLS.,  SECCHI ON BOTTOM.",
20,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,22,"KJELDAHL NITROGEN, DIS",,,,0.966,1.0,,,,,mg/L,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,"1000 MLS.,  SECCHI ON BOTTOM.",
21,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,13,COLOR,,,,37.0,37,,,,,PCU,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,0.0,"1000 MLS.,  SECCHI ON BOTTOM.",
22,OLIT,MH24000,0010,,1996-01-17 10:26:00,SAMP,G,0.0,,SW,62,CHLOROPHYLL-B,,,,-1.0,-1.0,,,,,mg/M^3,,,,L5389-10,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,"1000 MLS.,  SECCHI ON BOTTOM.",
