,Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
0,LOSAV,PELBAY3,P3717-1,,2000-02-10 09:00:00,EB,G,0.0,,SW,13,COLOR,,,11-FEB-2000 07:00,-1.0,-1.0,,1.0,,1.0,PCU,,,10-FEB-2000 00:00,L14057-1,,WMD,WMD,,,,,0.0,,,,,9,EB,0,0,0,EXP,0.0,,
1,LOSAV,PELBAY3,P3717-1,,2000-02-10 09:00:00,EB,G,0.0,,SW,77,VOLATILE SUSPENDED SOLIDS,,,10-FEB-2000 00:00,-3.0,-3.0,,3.0,,3.0,mg/L,,,10-FEB-2000 00:00,L14057-1,,WMD,WMD,,,,,0.0,,,,,9,EB,0,0,0,EXP,1.0,,
2,LOSAV,PELBAY3,P3717-1,,2000-02-10 09:00:00,EB,G,0.0,,SW,16,TOTAL SUSPENDED SOLIDS,,,10-FEB-2000 00:00,-3.0,-3.0,,3.0,,3.0,mg/L,,,10-FEB-2000 00:00,L14057-1,,WMD,WMD,,,,,0.0,,,,,9,EB,0,0,0,EXP,1.0,,
3,LOSAV,PELBAY3,P3717-2,,2000-02-10 09:15:00,SAMP,G,0.0,,SW,77,VOLATILE SUSPENDED SOLIDS,,,10-FEB-2000 00:00,21.0,21.0,,3.0,,3.0,mg/L,,,10-FEB-2000 00:00,L14057-2,,WMD,WMD,,,,,0.0,,,,,38,,0,0,0,EXP,1.0,,
4,LOSAV,PELBAY3,P3717-2,,2000-02-10 09:15:00,SAMP,G,0.0,,SW,13,COLOR,,,11-FEB-2000 07:00,40.0,40.0,,1.0,,1.0,PCU,J3,J3,10-FEB-2000 00:00,L14057-2,,WMD,WMD,,,,,0.0,,,,,38,,0,0,0,EXP,0.0,,Failed field precision criteria
5,LOSAV,PELBAY3,P3717-2,,2000-02-10 09:15:00,SAMP,G,0.0,,SW,16,TOTAL SUSPENDED SOLIDS,,,10-FEB-2000 00:00,56.0,56.0,,3.0,,3.0,mg/L,,,10-FEB-2000 00:00,L14057-2,,WMD,WMD,,,,,0.0,,,,,38,,0,0,0,EXP,1.0,,
6,LOSAV,PELBAY3,P3717-3,,2000-02-10 09:30:00,RS,G,0.0,,SW,77,VOLATILE SUSPENDED SOLIDS,,,10-FEB-2000 00:00,24.0,24.0,,3.0,,3.0,mg/L,,,10-FEB-2000 00:00,L14057-3,,WMD,WMD,,,,,0.0,,,,,9,RS,0,0,0,EXP,1.0,,
7,LOSAV,PELBAY3,P3717-3,,2000-02-10 09:30:00,RS,G,0.0,,SW,16,TOTAL SUSPENDED SOLIDS,,,10-FEB-2000 00:00,61.0,61.0,,3.0,,3.0,mg/L,,,10-FEB-2000 00:00,L14057-3,,WMD,WMD,,,,,0.0,,,,,9,RS,0,0,0,EXP,1.0,,
8,LOSAV,PELBAY3,P3717-3,,2000-02-10 09:30:00,RS,G,0.0,,SW,13,COLOR,,,11-FEB-2000 07:00,50.0,50.0,,1.0,,1.0,PCU,,,10-FEB-2000 00:00,L14057-3,,WMD,WMD,,,,,0.0,,,,,9,RS,0,0,0,EXP,0.0,,
9,LOSAV,PELBAY3,P4478-1,,2000-04-24 09:30:00,SAMP,G,0.0,,SW,13,COLOR,,,25-APR-2000 08:09,33.0,33.0,,1.0,,1.0,PCU,,,24-APR-2000 00:00,L14480-1,,WMD,WMD,,,,,0.0,,,,,38,,0,0,0,EXP,0.0,,
10,LOSAV,PELBAY3,P4478-1,,2000-04-24 09:30:00,SAMP,G,0.0,,SW,16,TOTAL SUSPENDED SOLIDS,,,25-APR-2000 00:00,9.0,9.0,,3.0,,3.0,mg/L,,,24-APR-2000 00:00,L14480-1,,WMD,WMD,,,,,0.0,,,,,38,,0,0,0,EXP,1.0,,
11,LOSAV,PELBAY3,P4478-1,,2000-04-24 09:30:00,SAMP,G,0.0,,SW,77,VOLATILE SUSPENDED SOLIDS,,,25-APR-2000 00:00,4.0,4.0,,3.0,,3.0,mg/L,,,24-APR-2000 00:00,L14480-1,,WMD,WMD,,,,,0.0,,,,,38,,0,0,0,EXP,1.0,,
12,LOSAV,PELBAY3,P4478-2,,2000-04-24 09:35:00,EB,G,0.0,,SW,13,COLOR,,,25-APR-2000 08:09,-1.0,-1.0,,1.0,,1.0,PCU,,,24-APR-2000 00:00,L14480-2,,WMD,WMD,,,,,0.0,,,,,9,EB,0,0,0,EXP,0.0,,
13,LOSAV,PELBAY3,P4478-2,,2000-04-24 09:35:00,EB,G,0.0,,SW,16,TOTAL SUSPENDED SOLIDS,,,25-APR-2000 00:00,-3.0,-3.0,,3.0,,3.0,mg/L,,,24-APR-2000 00:00,L14480-2,,WMD,WMD,,,,,0.0,,,,,9,EB,0,0,0,EXP,1.0,,
14,LOSAV,PELBAY3,P4478-2,,2000-04-24 09:35:00,EB,G,0.0,,SW,77,VOLATILE SUSPENDED SOLIDS,,,25-APR-2000 00:00,-3.0,-3.0,,3.0,,3.0,mg/L,,,24-APR-2000 00:00,L14480-2,,WMD,WMD,,,,,0.0,,,,,9,EB,0,0,0,EXP,1.0,,
15,LOSAV,PELBAY3,P4478-3,,2000-04-24 09:40:00,RS,G,0.0,,SW,13,COLOR,,,25-APR-2000 08:09,32.0,32.0,,1.0,,1.0,PCU,,,24-APR-2000 00:00,L14480-3,,WMD,WMD,,,,,0.0,,,,,9,RS,0,0,0,EXP,0.0,,
16,LOSAV,PELBAY3,P4478-3,,2000-04-24 09:40:00,RS,G,0.0,,SW,77,VOLATILE SUSPENDED SOLIDS,,,25-APR-2000 00:00,4.0,4.0,,3.0,,3.0,mg/L,,,24-APR-2000 00:00,L14480-3,,WMD,WMD,,,,,0.0,,,,,9,RS,0,0,0,EXP,1.0,,
17,LOSAV,PELBAY3,P4478-3,,2000-04-24 09:40:00,RS,G,0.0,,SW,16,TOTAL SUSPENDED SOLIDS,,,27-APR-2000 00:00,9.0,9.0,,3.0,,3.0,mg/L,,,24-APR-2000 00:00,L14480-3,,WMD,WMD,,,,,0.0,,,,,9,RS,0,0,0,EXP,1.0,,
18,LOSAV,PELBAY3,P4886-1,,2000-05-23 09:45:00,SAMP,G,0.0,,SW,77,VOLATILE SUSPENDED SOLIDS,,,26-MAY-2000 00:00,3.0,3.0,,3.0,,3.0,mg/L,,,23-MAY-2000 00:00,L14773-1,,WMD,WMD,,,,,0.0,,,,,38,,0,0,0,EXP,1.0,,
19,LOSAV,PELBAY3,P4886-1,,2000-05-23 09:45:00,SAMP,G,0.0,,SW,16,TOTAL SUSPENDED SOLIDS,,,24-MAY-2000 00:00,13.0,13.0,,3.0,,3.0,mg/L,,,23-MAY-2000 00:00,L14773-1,,WMD,WMD,,,,,0.0,,,,,38,,0,0,0,EXP,1.0,,
20,LOSAV,PELBAY3,P4886-1,,2000-05-23 09:45:00,SAMP,G,0.0,,SW,13,COLOR,,,24-MAY-2000 10:00,43.0,43.0,,1.0,,1.0,PCU,,,23-MAY-2000 00:00,L14773-1,,WMD,WMD,,,,,0.0,,,,,38,,0,0,0,EXP,0.0,,
21,LOSAV,PELBAY3,P4886-2,,2000-05-23 09:50:00,EB,G,0.0,,SW,77,VOLATILE SUSPENDED SOLIDS,,,26-MAY-2000 00:00,-3.0,-3.0,,3.0,,3.0,mg/L,,,23-MAY-2000 00:00,L14773-2,,WMD,WMD,,,,,0.0,,,,,9,EB,0,0,0,EXP,1.0,,
22,LOSAV,PELBAY3,P4886-2,,2000-05-23 09:50:00,EB,G,0.0,,SW,16,TOTAL SUSPENDED SOLIDS,,,24-MAY-2000 00:00,-3.0,-3.0,,3.0,,3.0,mg/L,,,23-MAY-2000 00:00,L14773-2,,WMD,WMD,,,,,0.0,,,,,9,EB,0,0,0,EXP,1.0,,
