,Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
0,X,S133,0640,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,67,"ALKALINITY, TOT, CACO3",,,,211.0,211.00,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
1,X,S133,0640,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,35,HARDNESS AS CACO3,,,,142.8,142.8,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
2,X,S133,0640,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,10,"PH, FIELD",,,,8.4,8.40,,,,,UNITS,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
3,X,S133,0640,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,18,NITRATE+NITRITE-N,,,,0.046,0.046,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
4,X,S133,0640,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,19,NITRITE-N,,,,0.006,0.006,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
5,X,S133,0640,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,20,AMMONIA-N,,,,0.23,0.23,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
6,X,S133,0640,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,21,"KJELDAHL NITROGEN, TOTAL",,,,1.47,1.5,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
7,X,S133,0640,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,23,"PHOSPHATE, ORTHO AS P",,,,0.12,0.120,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
8,X,S133,0640,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.17600000000000002,0.176,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
9,X,S133,0640,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,27,SILICA,,,,3.3,3.3,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
10,X,S133,0640,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,28,SODIUM,,,,42.3,42.30,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
11,X,S133,0640,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,29,POTASSIUM,,,,3.7,3.70,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
12,X,S133,0640,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,30,CALCIUM,,,,37.4,37.40,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
13,X,S133,0640,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,31,MAGNESIUM,,,,12.0,12.00,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
14,X,S133,0640,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,32,CHLORIDE,,,,70.0,70.0,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
15,X,S133,0640,,1973-04-09 00:00:00,SAMP,G,0.0,,SW,78,NITRATE-N,,,,0.04,0.040,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
16,X,S133,0641,,1973-04-16 08:00:00,SAMP,G,0.0,,SW,10,"PH, FIELD",,,,7.88,7.88,,,,,UNITS,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,2.0,,
17,X,S133,0641,,1973-04-16 08:00:00,SAMP,G,0.0,,SW,67,"ALKALINITY, TOT, CACO3",,,,85.0,85.00,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,2.0,,
18,X,S133,0641,,1973-04-16 08:00:00,SAMP,G,0.0,,SW,78,NITRATE-N,,,,0.006999999999999999,0.007,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,3.0,,
19,X,S133,0641,,1973-04-16 08:00:00,SAMP,G,0.0,,SW,35,HARDNESS AS CACO3,,,,132.7,132.7,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,1.0,,
20,X,S133,0641,,1973-04-16 08:00:00,SAMP,G,0.0,,SW,32,CHLORIDE,,,,65.0,65.0,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,1.0,,
21,X,S133,0641,,1973-04-16 08:00:00,SAMP,G,0.0,,SW,31,MAGNESIUM,,,,11.0,11.00,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,2.0,,
22,X,S133,0641,,1973-04-16 08:00:00,SAMP,G,0.0,,SW,30,CALCIUM,,,,35.0,35.00,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,2.0,,
23,X,S133,0641,,1973-04-16 08:00:00,SAMP,G,0.0,,SW,29,POTASSIUM,,,,3.07,3.07,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,2.0,,
24,X,S133,0641,,1973-04-16 08:00:00,SAMP,G,0.0,,SW,28,SODIUM,,,,36.6,36.60,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,2.0,,
25,X,S133,0641,,1973-04-16 08:00:00,SAMP,G,0.0,,SW,27,SILICA,,,,3.3,3.3,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,1.0,,
26,X,S133,0641,,1973-04-16 08:00:00,SAMP,G,0.0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.14,0.140,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,3.0,,
27,X,S133,0641,,1973-04-16 08:00:00,SAMP,G,0.0,,SW,23,"PHOSPHATE, ORTHO AS P",,,,0.1,0.100,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,3.0,,
28,X,S133,0641,,1973-04-16 08:00:00,SAMP,G,0.0,,SW,21,"KJELDAHL NITROGEN, TOTAL",,,,1.2,1.2,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,1.0,,
29,X,S133,0641,,1973-04-16 08:00:00,SAMP,G,0.0,,SW,20,AMMONIA-N,,,,0.05,0.05,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,2.0,,
30,X,S133,0641,,1973-04-16 08:00:00,SAMP,G,0.0,,SW,19,NITRITE-N,,,,0.002,0.002,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,3.0,,
31,X,S133,0641,,1973-04-16 08:00:00,SAMP,G,0.0,,SW,18,NITRATE+NITRITE-N,,,,0.009000000000000001,0.009,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,3.0,,
32,X,S133,0642,,1973-04-23 00:00:00,SAMP,G,0.0,,SW,78,NITRATE-N,,,,0.031,0.031,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
33,X,S133,0642,,1973-04-23 00:00:00,SAMP,G,0.0,,SW,10,"PH, FIELD",,,,7.91,7.91,,,,,UNITS,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
34,X,S133,0642,,1973-04-23 00:00:00,SAMP,G,0.0,,SW,35,HARDNESS AS CACO3,,,,119.3,119.3,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
35,X,S133,0642,,1973-04-23 00:00:00,SAMP,G,0.0,,SW,32,CHLORIDE,,,,58.0,58.0,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
36,X,S133,0642,,1973-04-23 00:00:00,SAMP,G,0.0,,SW,31,MAGNESIUM,,,,10.0,10.00,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
37,X,S133,0642,,1973-04-23 00:00:00,SAMP,G,0.0,,SW,30,CALCIUM,,,,31.3,31.30,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
38,X,S133,0642,,1973-04-23 00:00:00,SAMP,G,0.0,,SW,28,SODIUM,,,,33.7,33.70,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
39,X,S133,0642,,1973-04-23 00:00:00,SAMP,G,0.0,,SW,27,SILICA,,,,2.3,2.3,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
40,X,S133,0642,,1973-04-23 00:00:00,SAMP,G,0.0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.156,0.156,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
41,X,S133,0642,,1973-04-23 00:00:00,SAMP,G,0.0,,SW,29,POTASSIUM,,,,2.83,2.83,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
42,X,S133,0642,,1973-04-23 00:00:00,SAMP,G,0.0,,SW,21,"KJELDAHL NITROGEN, TOTAL",,,,1.36,1.4,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
43,X,S133,0642,,1973-04-23 00:00:00,SAMP,G,0.0,,SW,20,AMMONIA-N,,,,0.14,0.14,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
44,X,S133,0642,,1973-04-23 00:00:00,SAMP,G,0.0,,SW,19,NITRITE-N,,,,0.004,0.004,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
45,X,S133,0642,,1973-04-23 00:00:00,SAMP,G,0.0,,SW,18,NITRATE+NITRITE-N,,,,0.035,0.035,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
46,X,S133,0642,,1973-04-23 00:00:00,SAMP,G,0.0,,SW,67,"ALKALINITY, TOT, CACO3",,,,78.5,78.50,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
47,X,S133,0643,,1973-04-30 08:00:00,SAMP,G,0.0,,SW,67,"ALKALINITY, TOT, CACO3",,,,73.5,73.50,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,2.0,,
48,X,S133,0643,,1973-04-30 08:00:00,SAMP,G,0.0,,SW,10,"PH, FIELD",,,,7.87,7.87,,,,,UNITS,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,2.0,,
49,X,S133,0643,,1973-04-30 08:00:00,SAMP,G,0.0,,SW,18,NITRATE+NITRITE-N,,,,0.078,0.078,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,3.0,,
50,X,S133,0643,,1973-04-30 08:00:00,SAMP,G,0.0,,SW,19,NITRITE-N,,,,-0.002,-0.002,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,3.0,,
51,X,S133,0643,,1973-04-30 08:00:00,SAMP,G,0.0,,SW,20,AMMONIA-N,,,,0.25,0.25,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,2.0,,
52,X,S133,0643,,1973-04-30 08:00:00,SAMP,G,0.0,,SW,21,"KJELDAHL NITROGEN, TOTAL",,,,1.8,1.8,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,1.0,,
53,X,S133,0643,,1973-04-30 08:00:00,SAMP,G,0.0,,SW,23,"PHOSPHATE, ORTHO AS P",,,,0.040999999999999995,0.041,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,2,0,0,MON,3.0,,
