,Station,Variable,Begin date,End date,Total measurements,Measurements since 2000,Measurements in 2019
0,POLESOUT,NITRATE+NITRITE-N,1988-06-27 13:00:00,2020-06-23 13:02:00,438,252,12
1,POLESOUT,NITRITE-N,1988-06-27 13:00:00,2020-06-23 13:02:00,440,253,12
2,POLESOUT,AMMONIA-N,1988-06-27 13:00:00,2020-06-23 13:02:00,438,252,12
3,POLESOUT,"KJELDAHL NITROGEN, TOTAL",1988-06-27 13:00:00,2014-05-14 10:43:00,363,175,0
4,POLESOUT,"PHOSPHATE, ORTHO AS P",1988-06-27 13:00:00,2020-06-23 13:02:00,440,253,12
5,POLESOUT,"PHOSPHATE, TOTAL AS P",1988-06-27 13:00:00,2020-06-23 13:02:00,442,253,12
6,POLESOUT,NITRATE-N,1988-06-27 13:00:00,2019-11-05 12:13:00,342,174,11
7,POLESOUT,SILICA,1988-07-11 12:05:00,2020-06-23 13:02:00,130,83,4
8,POLESOUT,"CARBON, TOTAL ORGANIC",,,1,1,0
9,POLESOUT,"CARBON, DISSOLVED ORGANIC",,,1,1,0
10,POLESOUT,TOTAL NITROGEN,2014-06-04 12:03:00,2020-06-23 13:02:00,78,78,12
11,POLESOUT,"PHOSPHATE, DISSOLVED AS P",,,0,0,0
12,POLESOUT,"KJELDAHL NITROGEN, DIS",,,0,0,0
13,POLESOUT,"CARBON, TOTAL",,,0,0,0
14,POLESOUT,"CARBON, TOTAL INORGANIC",,,0,0,0
15,POLESOUT,"NITROGEN, TOTAL DISSOLVED",,,0,0,0
16,POLESOUT,CHLOROPHYLL-A,1988-06-27 13:00:00,2011-04-18 14:27:00,310,132,0
17,POLESOUT,PHEOPHYTIN,1988-06-27 13:00:00,2011-04-18 14:27:00,309,132,0
18,POLESOUT,"CHLOROPHYLL-A, CORRECTED",1988-06-27 13:00:00,2011-04-18 14:27:00,310,132,0
19,POLESOUT,CHLOROPHYLL-C,1989-04-03 12:30:00,2011-04-18 14:27:00,280,132,0
20,POLESOUT,CAROTENOIDS,1989-04-03 12:30:00,2011-04-18 14:27:00,293,132,0
21,POLESOUT,CHLOROPHYLL-B,1989-04-03 12:30:00,2011-04-18 14:27:00,293,132,0
