Date,Station,In Situ ChlA,400,412,442,490,510,560,620,665,674,681,709,754,865,940,1012
2010-10-20,POLESOUT,6.55,,,,,,,,,,,,,,,
2010-12-15,POLESOUT,7.7,,,,,,,,,,,,,,,
2011-01-04,POLESOUT,20.25,,,,,,,,,,,,,,,
2011-02-14,POLESOUT,13.8,,,,,,,,,,,,,,,
2011-03-08,POLESOUT,15.7,,,,,,,,,,,,,,,
2011-04-18,POLESOUT,10.8,,,,,,,,,,,,,,,
2011-05-09,POLESOUT,14.2,,,,,,,,,,,,,,,
2011-06-06,POLESOUT,16.4,,,,,,,,,,,,,,,
2011-07-11,POLESOUT,18.1,,,,,,,,,,,,,,,
2011-08-01,POLESOUT,65.3,,,,,,,,,,,,,,,
2011-09-20,POLESOUT,23.3,,,,,,,,,,,,,,,
2011-10-11,POLESOUT,16.8,,,,,,,,,,,,,,,
2011-11-14,POLESOUT,18.7,,,,,,,,,,,,,,,
2011-12-06,POLESOUT,17.1,,,,,,,,,,,,,,,
2012-01-24,POLESOUT,38.7,,,,,,,,,,,,,,,
2012-02-06,POLESOUT,16.6,,,,,,,,,,,,,,,
2012-03-20,POLESOUT,17.0,,,,,,,,,,,,,,,
2012-04-03,POLESOUT,16.0,,,,,,,,,,,,,,,
2012-05-22,POLESOUT,18.1,,,,,,,,,,,,,,,
2012-06-12,POLESOUT,22.7,,,,,,,,,,,,,,,
2012-07-17,POLESOUT,34.0,,,,,,,,,,,,,,,
2012-08-14,POLESOUT,20.5,,,,,,,,,,,,,,,
2012-09-19,POLESOUT,43.1,,,,,,,,,,,,,,,
2012-10-09,POLESOUT,35.7,,,,,,,,,,,,,,,
2012-11-27,POLESOUT,18.4,,,,,,,,,,,,,,,
2012-12-11,POLESOUT,13.7,,,,,,,,,,,,,,,
2013-01-08,POLESOUT,16.8,,,,,,,,,,,,,,,
2013-02-11,POLESOUT,14.0,,,,,,,,,,,,,,,
2013-03-27,POLESOUT,18.7,,,,,,,,,,,,,,,
2013-04-08,POLESOUT,28.0,,,,,,,,,,,,,,,
2013-05-14,POLESOUT,61.8,,,,,,,,,,,,,,,
2013-06-03,POLESOUT,48.0,,,,,,,,,,,,,,,
2013-07-17,POLESOUT,24.8,,,,,,,,,,,,,,,
2013-08-06,POLESOUT,54.9,,,,,,,,,,,,,,,
2013-09-17,POLESOUT,33.8,,,,,,,,,,,,,,,
2013-10-01,POLESOUT,50.4,,,,,,,,,,,,,,,
2013-11-12,POLESOUT,22.9,,,,,,,,,,,,,,,
2013-12-04,POLESOUT,17.3,,,,,,,,,,,,,,,
2014-01-14,POLESOUT,27.4,,,,,,,,,,,,,,,
2014-02-05,POLESOUT,38.5,,,,,,,,,,,,,,,
2014-03-11,POLESOUT,17.3,,,,,,,,,,,,,,,
2014-04-15,POLESOUT,31.2,,,,,,,,,,,,,,,
2014-05-14,POLESOUT,90.0,,,,,,,,,,,,,,,
2014-06-04,POLESOUT,14.4,,,,,,,,,,,,,,,
2014-07-15,POLESOUT,36.9,,,,,,,,,,,,,,,
2014-08-05,POLESOUT,49.7,,,,,,,,,,,,,,,
2014-09-02,POLESOUT,30.8,,,,,,,,,,,,,,,
2014-10-07,POLESOUT,29.4,,,,,,,,,,,,,,,
2014-11-04,POLESOUT,44.6,,,,,,,,,,,,,,,
2014-12-02,POLESOUT,21.4,,,,,,,,,,,,,,,
2015-01-06,POLESOUT,21.3,,,,,,,,,,,,,,,
2015-02-03,POLESOUT,23.3,,,,,,,,,,,,,,,
2015-03-03,POLESOUT,16.9,,,,,,,,,,,,,,,
2015-04-07,POLESOUT,15.6,,,,,,,,,,,,,,,
2015-05-12,POLESOUT,71.0,,,,,,,,,,,,,,,
2015-06-03,POLESOUT,34.4,,,,,,,,,,,,,,,
2015-07-08,POLESOUT,29.7,,,,,,,,,,,,,,,
2015-08-05,POLESOUT,20.8,,,,,,,,,,,,,,,
2015-09-01,POLESOUT,73.5,,,,,,,,,,,,,,,
2015-10-06,POLESOUT,23.0,,,,,,,,,,,,,,,
2015-12-01,POLESOUT,22.3,,,,,,,,,,,,,,,
2016-01-11,POLESOUT,31.2,,,,,,,,,,,,,,,
2016-02-02,POLESOUT,21.6,,,,,,,,,,,,,,,
2016-03-01,POLESOUT,27.7,,,,,,,,,,,,,,,
2016-04-05,POLESOUT,21.7,,,,,,,,,,,,,,,
2016-05-03,POLESOUT,21.2,,,,,,,,,,,,,,,
2016-06-14,POLESOUT,35.3,,,,,,,,,,,,,,,
2016-07-11,POLESOUT,67.6,,,,,,,,,,,,,,,
2016-08-02,POLESOUT,60.2,,,,,,,,,,,,,,,
2016-09-06,POLESOUT,44.0,,,,,,,,,,,,,,,
2016-10-18,POLESOUT,12.2,,,,,,,,,,,,,,,
2016-11-01,POLESOUT,23.7,,,,,,,,,,,,,,,
2016-12-07,POLESOUT,19.5,,,,,,,,,,,,,,,
2017-01-09,POLESOUT,26.7,,,,,,,,,,,,,,,
2017-02-07,POLESOUT,14.8,,,,,,,,,,,,,,,
2017-03-22,POLESOUT,24.0,,,,,,,,,,,,,,,
2017-04-17,POLESOUT,20.1,,,,,,,,,,,,,,,
2017-05-23,POLESOUT,46.9,,,,,,,,,,,,,,,
2017-06-21,POLESOUT,69.2,,,,,,,,,,,,,,,
2017-07-10,POLESOUT,110.0,,,,,,,,,,,,,,,
2017-08-14,POLESOUT,57.0,,,,,,,,,,,,,,,
2017-09-18,POLESOUT,32.6,,,,,,,,,,,,,,,
2017-10-10,POLESOUT,12.1,,,,,,,,,,,,,,,
2017-11-07,POLESOUT,12.9,,,,,,,,,,,,,,,
2017-12-05,POLESOUT,13.3,,,,,,,,,,,,,,,
2018-01-17,POLESOUT,5.7,,,,,,,,,,,,,,,
2018-02-06,POLESOUT,9.42,,,,,,,,,,,,,,,
2018-03-06,POLESOUT,10.1,,,,,,,,,,,,,,,
2018-04-03,POLESOUT,29.2,,,,,,,,,,,,,,,
2018-05-01,POLESOUT,18.0,,,,,,,,,,,,,,,
2018-06-05,POLESOUT,29.4,,,,,,,,,,,,,,,
2018-07-17,POLESOUT,33.6,,,,,,,,,,,,,,,
2018-08-14,POLESOUT,22.0,,,,,,,,,,,,,,,
2018-09-04,POLESOUT,29.8,,,,,,,,,,,,,,,
2018-10-16,POLESOUT,21.9,,,,,,,,,,,,,,,
2018-11-06,POLESOUT,19.3,,,,,,,,,,,,,,,
2018-12-04,POLESOUT,17.4,,,,,,,,,,,,,,,
2019-01-08,POLESOUT,23.1,,,,,,,,,,,,,,,
2019-02-12,POLESOUT,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-12,POLESOUT,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-02,POLESOUT,23.8,,,,,,,,,,,,,,,
2019-05-08,POLESOUT,36.2,,,,,,,,,,,,,,,
2019-06-05,POLESOUT,19.6,0.013092000968754292,0.009268000721931458,0.009036000818014145,0.007946000434458256,0.007592000998556614,0.008052000775933266,0.007332000881433487,0.007082000840455294,0.006954000797122717,0.0071500008925795555,0.00579800084233284,0.0036920008715242147,0.0018800008110702038,-0.0036679990589618683,0.0005820008809678257
2019-07-09,POLESOUT,74.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-06,POLESOUT,74.7,,,,,,,,,,,,,,,
2019-09-09,POLESOUT,59.6,0.006866001058369875,0.004412000998854637,0.004576000850647688,0.0046820007264614105,0.004444000776857138,0.00568400090560317,0.005466000642627478,0.005478000734001398,0.005334001034498215,0.005486000794917345,0.005314000882208347,0.0029920008964836597,0.0015540008898824453,-0.002909999107941985,0.0003060008748434484
2019-10-01,POLESOUT,28.9,,,,,,,,,,,,,,,
2019-11-05,POLESOUT,19.5,,,,,,,,,,,,,,,
2019-12-03,POLESOUT,12.9,-0.001697999075986445,-0.0029659990686923265,-0.0009079991141334176,0.0009940008167177439,0.0017960008699446917,0.0035000008065253496,0.004582000896334648,0.0052300007082521915,0.005452001001685858,0.005418000742793083,0.006104000844061375,0.0038040007930248976,0.0020500009413808584,-0.0028319992125034332,-0.0015519991284236312
2020-01-14,POLESOUT,11.7,0.004060000646859407,0.0018980008317157626,0.003100000787526369,0.004030000884085894,0.004092000890523195,0.005906000733375549,0.005250000860542059,0.005516001023352146,0.0052380007691681385,0.005292000714689493,0.005766001064330339,0.0030600009486079216,0.0015640008496120572,-0.003843999234959483,0.00024200086772907525
2020-02-04,POLESOUT,25.0,,,,,,,,,,,,,,,
2020-02-12,POLESOUT,29.7,,,,,,,,,,,,,,,
2020-03-10,POLESOUT,25.9,,,,,,,,,,,,,,,
2020-04-07,POLESOUT,34.3,,,,,,,,,,,,,,,
2020-05-05,POLESOUT,18.8,0.006348000839352608,0.004076000768691301,0.004918000660836697,0.005220000632107258,0.005342000629752874,0.006426000967621803,0.006104000844061375,0.005972000770270824,0.005850000772625208,0.006008001044392586,0.005862000863999128,0.0034580009523779154,0.0017500008689239621,-0.004861999303102493,-4.599912790581584e-05
